Variable                ,Mean                       ,Std Dev                     ,N    ,Teams ,First Year ,Last Year
lag_seasonwins          ,       5.862908837856645   ,       2.6478552103960062   ,1437 ,   63 ,      1987 ,     2009
lag_seasonwins          ,       4.563380281690141   ,       2.5079142091803295   , 923 ,   53 ,      1987 ,     2009
lag_seasongames         ,      10.75365344467641    ,       0.7697236233983231   ,1437 ,   63 ,      1987 ,     2009
lag_seasongames         ,      10.509209100758396   ,       0.9706493804597696   , 923 ,   53 ,      1987 ,     2009
lag_exp_wins            ,       5.80235385915101    ,       1.9353072451034898   ,1437 ,   63 ,      1987 ,     2009
lag_exp_wins            ,       4.690074046045504   ,       1.6901163416553617   , 923 ,   53 ,      1987 ,     2009
alumni_ops_athletics    , 3953265.6121212123        , 3804502.038822059          , 495 ,   54 ,      1999 ,     2009
alumni_ops_athletics    ,  694784.9023255814        ,  835979.0244984191         , 430 ,   48 ,      1999 ,     2009
alum_non_athl_ops       ,11604026.82020202          ,14817450.063090412          , 495 ,   54 ,      1999 ,     2009
alum_non_athl_ops       , 1992362.3395348836        , 3568827.9533670354         , 430 ,   48 ,      1999 ,     2009
alumni_total_giving     ,27610042.828413285         ,30875879.386267185          ,1084 ,   63 ,      1990 ,     2009
alumni_total_giving     , 5358785.363892807         , 6751142.399322737          , 709 ,   50 ,      1990 ,     2009
vse_alum_giving_rate    ,       0.16681005751630434 ,       0.07672545709905763  ,1104 ,   63 ,      1990 ,     2009
vse_alum_giving_rate    ,       0.10275677370804912 ,       0.061037181412275154 , 733 ,   51 ,      1990 ,     2009
usnews_academic_rep_new ,       3.49867452724595    ,       0.5373221156973217   , 679 ,   62 ,      1997 ,     2008
usnews_academic_rep_new ,       2.7117808043835616  ,       0.4311986223465907   , 365 ,   43 ,      1997 ,     2008
applicants              ,   16814.852083333335      ,    8043.260118964931       , 480 ,   63 ,      1999 ,     2007
applicants              ,    9659.852777777778      ,    6402.504308345029       , 360 ,   51 ,      1999 ,     2007
acceptance_rate         ,      66.67374517374517    ,      18.506134923988203    ,1036 ,   62 ,      1988 ,     2008
acceptance_rate         ,      75.5081081081081     ,      15.789494834740786    , 555 ,   44 ,      1988 ,     2008
firsttime_outofstate    ,    1037.7889390519188     ,     591.2678224703393      , 886 ,   63 ,      1986 ,     2008
firsttime_outofstate    ,     461.0833333333333     ,     524.5207971986853      , 612 ,   53 ,      1986 ,     2008
first_time_instate      ,    2810.793453724605      ,    1536.9676276239124      , 886 ,   63 ,      1986 ,     2008
first_time_instate      ,    2149.8202614379084     ,    1073.133799182204       , 612 ,   53 ,      1986 ,     2008
sat_25                  ,    1101.092807424594      ,     103.25523003481179     , 431 ,   62 ,      1999 ,     2007
sat_25                  ,     983.7351916376307     ,     106.06100425864004     , 287 ,   48 ,      1999 ,     2008
